parameter,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,city,spec
0,asc_pt,-0.40524466660719705,1.0343870663918824,-0.3917727510077627,0.695226130410731,Amsterdam,exp_a_base
1,b_time_pt,0.05599480257451044,0.01094240453272746,5.117230167010962,3.100551688728359e-07,Amsterdam,exp_a_base
2,b_income_pt,-0.2485490564503903,0.11452554912653735,-2.170249855565177,0.029987923090254887,Amsterdam,exp_a_base
3,b_age_pt,-0.3229682864363356,0.10742491430319683,-3.0064560770771265,0.0026431223553688987,Amsterdam,exp_a_base
4,b_gender_pt,0.5460195527784342,0.30408784915621945,1.7955980625122803,0.07255846425667944,Amsterdam,exp_a_base
5,asc_bike,4.941268211010933,0.7168958537770123,6.8925886305207955,5.4785065373152975e-12,Amsterdam,exp_a_base
6,b_time_bike,0.05369271592045163,0.010915651058543165,4.918874342216067,8.704332268294479e-07,Amsterdam,exp_a_base
7,b_income_bike,0.13560963874906393,0.08116497014404347,1.670790225246156,0.0947631199314356,Amsterdam,exp_a_base
8,b_age_bike,-0.3226203784748919,0.07195593815818334,-4.4835824079683855,7.340023757018699e-06,Amsterdam,exp_a_base
9,b_gender_bike,-0.49098861171438096,0.22186852740008098,-2.212970976406281,0.026899646685313527,Amsterdam,exp_a_base
10,b_dist_bike,-0.38923616619850404,0.03833887657356444,-10.15251882646169,0.0,Amsterdam,exp_a_base
