VariabelenaamODiN2023	VariabelelabelODiN2023	Niveau	CodeODiN2023	CodelabelODiN2023	Korteomschrijving	G	H	I	J	K	L
"OP"	"Nieuwe persoon"	"P"	""	""	""						
""	""	""	"0"	"Geen nieuwe persoon"	""						
""	""	""	"1"	"Nieuwe persoon"	""						
"OPID"	"Uniek id voor iedere OP"	"P"	""	""	""						
""	""	""	"id"	""	""						
"Steekproef"	"Steekproefindicator"	"P"	""	""	""						
""	""	""	"1"	"Basisonderzoek"	""						
""	""	""	"4"	"Meerwerk Noordvleugel"	""						
""	""	""	"6"	"Meerwerk Rotterdam Den Haag"	""						
""	""	""	"8"	"Meerwerk Utrecht"	""						
"Mode"	"Responsmode"	"P"	""	""	""						
""	""	""	"1"	"Cawi"	""						
"HHPers"	"Aantal personen in huishouden"	"P"	""	""	""						
""	""	""	"1..9"	""	""						
""	""	""	"10"	"10 personen of meer"	""						
""	""	""	"11"	"Onbekend"	""						
"HHSam"	"Huishoudsamenstelling"	"P"	""	""	""						
""	""	""	"1"	"Eenpersoonshuishouden"	""						
""	""	""	"2"	"Paar"	""						
""	""	""	"3"	"Paar + kind(eren)"	""						
""	""	""	"4"	"Paar + kind(eren) + ander(en)"	""						
""	""	""	"5"	"Paar + ander(en)"	""						
""	""	""	"6"	"Eenouderhuishouden + kind(eren)"	""						
""	""	""	"7"	"Eenouderhuishouden + kind(eren) + ander(en)"	""						
""	""	""	"8"	"Overig huishouden"	""						
""	""	""	"9"	"Onbekend"	""						
"HHPlOP"	"Plaats OP in huishouden tov huishoudkern"	"P"	""	""	""						
""	""	""	"1"	"Alleenstaande (eenpersoonshuishouden)"	""						
""	""	""	"2"	"Eenpersoonshuishoudkern (meerpersoonshuishouden) "	""						
""	""	""	"3"	"Echtgeno(o)t(e)/partner (lid huishoudkern)"	""						
""	""	""	"4"	"Kind"	""						
""	""	""	"5"	"Overig lid van het huishouden"	""						
""	""	""	"6"	"Onbekend"	""						
"HHLft1"	"Aantal huishoudleden jonger dan 6 jaar"	"P"	""	""	""						
""	""	""	"0..9"	""	""						
""	""	""	"10"	"10 personen of meer"	""						
""	""	""	"11"	"Onbekend"	""						
"HHLft2"	"Aantal huishoudleden van 6 t/m 11 jaar"	"P"	""	""	""						
""	""	""	"0..9"	""	""						
""	""	""	"10"	"10 personen of meer"	""						
""	""	""	"11"	"Onbekend"	""						
"HHLft3"	"Aantal huishoudleden van 12 t/m 17 jaar"	"P"	""	""	""						
""	""	""	"0..9"	""	""						
""	""	""	"10"	"10 personen of meer"	""						
""	""	""	"11"	"Onbekend"	""						
"HHLft4"	"Aantal huishoudleden van 18 jaar of ouder"	"P"	""	""	""						
""	""	""	"0..9"	""	""						
""	""	""	"10"	"10 personen of meer"	""						
""	""	""	"11"	"Onbekend"	""						
"WoPC"	"Postcode woonadres"	"P"	""	""	""						
""	""	""	"1000..9999"	""	""						
"Wogem"	"Woongemeente"	"P"	""	""	""						
""	""	""	"14..1992"	"{zie tabblad Wogem}"	""						
"Sted"	"Stedelijkheidsklasse woongemeente"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"1"	"Zeer sterk stedelijk"	""						
""	""	""	"2"	"Sterk stedelijk"	""						
""	""	""	"3"	"Matig stedelijk"	""						
""	""	""	"4"	"Weinig stedelijk"	""						
""	""	""	"5"	"Niet stedelijk"	""						
"GemGr"	"Inwoneraantalklasse woongemeente"	"P"	""	""	""						
""	""	""	"1"	"Tot 5.000 inwoners"	""						
""	""	""	"2"	"5.000 tot 10.000 inwoners"	""						
""	""	""	"3"	"10.000 tot 20.000 inwoners"	""						
""	""	""	"4"	"20.000 tot 50.000 inwoners"	""						
""	""	""	"5"	"50.000 tot 100.000 inwoners"	""						
""	""	""	"6"	"100.000 tot 150.000 inwoners"	""						
""	""	""	"7"	"150.000 tot 250.000 inwoners"	""						
""	""	""	"8"	"250.000 inwoners of meer"	""						
"Prov"	"Provincie woongemeente"	"P"	""	""	""						
""	""	""	"1"	"Groningen"	""						
""	""	""	"2"	"Fryslân"	""						
""	""	""	"3"	"Drenthe"	""						
""	""	""	"4"	"Overijssel"	""						
""	""	""	"5"	"Flevoland"	""						
""	""	""	"6"	"Gelderland"	""						
""	""	""	"7"	"Utrecht"	""						
""	""	""	"8"	"Noord-Holland"	""						
""	""	""	"9"	"Zuid-Holland"	""						
""	""	""	"10"	"Zeeland"	""						
""	""	""	"11"	"Noord-Brabant"	""						
""	""	""	"12"	"Limburg"	""						
"Corop"	"Coropgebied woongemeente "	"P"	""	""	""						
""	""	""	"1..40"	"{zie tabblad Corop}"	""						
""	""	""	""	""	""						
"BuurtAdam"	"Wijk Amsterdam"	"P"	""	""	""						
""	""	""	"0"	"Geen inwoner gemeente Amsterdam"	""						
""	""	""	"0363AA..0363TM"	"{zie tabblad BuurtAdam}"	""						
"MRA"	"Metropoolregio Amsterdam"	"P"	""	""	"Zie tabblad MRA voor een toelichting op de geografische indeling."						
""	""	""	"1"	"Stadsdeel Centrum"	""						
""	""	""	"2"	"Stadsdeel Noord"	""						
""	""	""	"3"	"Stadsdeel West (incl. Westpoort)"	""						
""	""	""	"4"	"Stadsdeel Nieuw-West"	""						
""	""	""	"5"	"Stadsdeel Zuid"	""						
""	""	""	"6"	"Stadsdeel Oost"	""						
""	""	""	"7"	"Stadsdeel Zuidoost"	""						
""	""	""	"8"	"Stadsgebied Weesp"	""						
""	""	""	"9"	"Basisregio Waterland"	""						
""	""	""	"10"	"Basisregio Zaanstreek"	""						
""	""	""	"11"	"Basisregio IJmond"	""						
