TripID,DayID,IndividualID,HouseholdID,PSUID,PersNo,TravDay,JourSeq,HowComp_B01ID,SeriesCall_B01ID,ShortWalkTrip_B01ID,NumStages,NumStages_B01ID,MainMode_B03ID,MainMode_B04ID,MainMode_B11ID,TripPurpFrom_B01ID,TripPurpTo_B01ID,TripPurpose_B01ID,TripPurpose_B02ID,TripPurpose_B04ID,TripStartHours,TripStartMinutes,TripStart,TripStart_B01ID,TripStart_B02ID,TripEndHours,TripEndMinutes,TripEnd,TripEnd_B01ID,TripEnd_B02ID,TripDisIncSW,TripDisIncSW_B01ID,TripDisExSW,TripDisExSW_B01ID,TripTotalTime,TripTotalTime_B01ID,TripTravTime,TripTravTime_B01ID,TripOrigGOR_B02ID,TripDestGOR_B02ID,JJXSC,JOTXSC,JTTXSC,JD,W5,W5xHH,SurveyYear
2023185552,2023095047,2023015978,2023006966,2023000823,2,1,3,2,2,2,3,3,23,11,17,1,23,1,1,1,22,30,1350,23,49,0.0,0.0,0.0,1,1,16.5,7,16.5,7,90,8,55.0,6,7,7,1,90,55.0,16.5,1.06365374983923,1,2023
2023031972,2023016726,2023002746,2023001197,2023000135,1,3,1,2,2,2,1,1,5,3,5,23,22,23,6,5,4,30,270,5,5,6.0,50.0,410.0,7,8,110.0,11,110.0,11,140,9,140.0,9,9,7,1,140,140.0,110.0,.68150790427844,1.04079135356866,2023
2023097569,2023051292,2023008577,2023003743,2023000432,5,3,4,2,2,2,1,1,8,4,6,5,23,6,5,4,22,30,1350,23,49,22.0,50.0,1370.0,23,49,12.0,6,12.0,6,20,4,20.0,4,2,2,1,20,20.0,12.0,2.5765013891495,1.17677453794029,2023
2023015130,2023007841,2023001288,2023000569,2023000062,1,1,4,2,2,2,1,1,7,4,6,10,23,10,8,7,22,30,1350,23,49,22.0,40.0,1360.0,23,49,2.0,3,2.0,3,10,3,10.0,3,8,8,1,10,10.0,2.0,.8965339669982,1,2023
2023131348,2023067520,2023011309,2023004917,2023000572,2,5,3,2,2,2,1,1,5,3,5,23,22,23,6,5,23,40,1420,24,51,0.0,0.0,0.0,1,1,12.0,6,12.0,6,20,4,20.0,4,8,7,1,20,20.0,12.0,.79844568350439,1.11410563586092,2023
2023049313,2023026025,2023004321,2023001896,2023000210,1,6,4,2,2,2,1,1,5,3,5,10,23,10,8,7,22,30,1350,23,49,23.0,0.0,1380.0,24,50,11.0,6,11.0,6,30,5,25.0,4,8,8,1,30,25.0,11.0,.82710581300584,1.10458165097975,2023
2023064425,2023033633,2023005642,2023002490,2023000277,2,5,1,2,2,2,1,1,5,3,5,23,1,1,1,1,4,0,240,5,5,4.0,5.0,245.0,5,5,0.5,1,0.5,1,5,2,5.0,2,5,5,1,5,5.0,0.5,2.37104332786566,1,2023
2023051522,2023027077,2023004496,2023001971,2023000217,2,1,8,2,2,2,2,2,7,4,6,10,23,10,8,7,22,50,1370,23,49,23.0,0.0,1380.0,24,50,1.1,2,1.0,2,10,3,10.0,3,6,6,1,10,10.0,1.7,1.37623647268993,1,2023
2023109722,2023057396,2023009631,2023004200,2023000493,2,3,1,2,2,2,1,1,22,10,16,1,23,1,1,1,0,0,0,1,1,1.0,0.0,60.0,2,2,7.0,5,7.0,5,60,7,60.0,7,7,7,1,60,60.0,7.0,.98629808900313,1,2023
2023004146,2023002201,2023000355,2023000149,2023000017,2,3,1,2,2,2,1,1,5,3,5,23,1,1,1,1,4,45,285,5,5,4.0,50.0,290.0,5,5,2.5,3,2.5,3,5,2,5.0,2,6,6,1,5,5.0,2.5,.85541193083173,1,2023
2023093252,2023048852,2023008169,2023003573,2023000411,4,6,4,2,2,2,1,1,7,4,6,10,23,10,8,7,23,30,1410,24,51,23.0,55.0,1435.0,24,51,10.0,6,10.0,6,25,4,25.0,4,8,8,1,25,25.0,10.0,1.10594943893849,1.10458165097975,2023
2023068800,2023036014,2023006026,2023002659,2023000298,2,6,2,2,2,2,1,1,5,3,5,1,23,1,1,1,22,30,1350,23,49,22.0,45.0,1365.0,23,49,1.25,2,1.25,2,15,4,15.0,4,5,5,1,15,15.0,1.25,1.04247158057368,1.04275040544997,2023
2023184027,2023094176,2023015837,2023006907,2023000815,3,5,1,2,2,2,1,1,26,12,20,9,23,11,9,7,0,15,15,1,1,1.0,0.0,60.0,2,2,6.0,5,6.0,5,45,6,45.0,6,7,7,1,45,45.0,6.0,.9260665376388,1.12156912482695,2023
2023146677,2023075423,2023012670,2023005514,2023000649,1,5,2,2,2,2,1,1,5,3,5,1,23,1,1,1,23,45,1425,24,51,0.0,5.0,5.0,1,1,8.5,5,8.5,5,20,4,20.0,4,8,8,1,20,20.0,8.5,1.03063669021949,1,2023
2023031478,2023016436,2023002696,2023001173,2023000131,2,7,1,2,2,2,1,1,14,3,9,23,1,1,1,1,3,15,195,4,4,3.0,30.0,210.0,4,4,6.0,5,6.0,5,15,4,15.0,4,5,5,1,15,15.0,6.0,.86948596880565,1.10479989204173,2023
2023079472,2023041095,2023006874,2023003027,2023000342,1,5,4,2,2,2,1,1,7,4,6,12,23,13,10,7,23,25,1405,24,50,23.0,55.0,1435.0,24,51,16.0,7,16.0,7,30,5,30.0,5,8,6,1,30,30.0,16.0,1.80603466208668,1.12156912482695,2023
2023140845,2023072329,2023012117,2023005277,2023000616,1,5,1,2,2,2,1,1,5,3,5,23,1,1,1,1,3,0,180,4,4,3.0,5.0,185.0,4,4,1.8,2,1.8,2,5,2,5.0,2,5,5,1,5,5.0,1.8,1.08272042942036,1,2023
2023048054,2023025398,2023004223,2023001853,2023000206,1,2,5,2,2,2,1,1,5,3,5,2,23,2,2,2,22,30,1350,23,49,22.0,50.0,1370.0,23,49,4.9,4,4.9,4,20,4,20.0,4,3,3,1,20,20.0,4.9,.85705676641118,1,2023
2023085134,2023044214,2023007380,2023003239,2023000371,3,2,1,2,2,2,2,2,19,8,13,1,23,1,1,1,0,0,0,1,1,0.0,50.0,50.0,1,1,3.6,4,3.6,4,50,6,36.0,5,6,7,1,50,36.0,3.6,1.65407197316599,1,2023
2023053370,2023027985,2023004668,2023002049,2023000227,1,6,4,2,2,2,1,1,7,4,6,11,23,12,9,7,23,15,1395,24,50,23.0,30.0,1410.0,24,51,4.5,4,4.5,4,15,4,15.0,4,3,3,1,15,15.0,4.5,.73968999266188,1.10458165097975,2023
